words,sentences
"అతను,లైఫ్,బోట్,ఎక్కడానికి,కోల్పోయిన,పిల్లల,తండ్రిగా,నటిస్తాడు",అతను లైఫ్ బోట్ ఎక్కడానికి కోల్పోయిన పిల్లల తండ్రిగా నటిస్తాడు
"జాక్,మరియు,రోజ్,డెక్‌కు,తిరిగి,వస్తారు",జాక్ మరియు రోజ్ డెక్‌కు తిరిగి వస్తారు
"వరదలున్న,విల్లు,మునిగిపోవడంతో,ఓడలు,స్టెర్న్,పెరుగుతున్నాయి",వరదలున్న విల్లు మునిగిపోవడంతో ఓడలు స్టెర్న్ పెరుగుతున్నాయి
"పెరిగిన,ఓడ,సగానికి,విరిగింది,మరియు,విల్లు,విభాగం,మునిగిపోతుంది",పెరిగిన ఓడ సగానికి విరిగింది మరియు విల్లు విభాగం మునిగిపోతుంది
"స్టెర్న్,తిరిగి,సముద్రంలోకి,దూసుకెళుతుంది,మరియు,మునిగిపోతుంది",స్టెర్న్ తిరిగి సముద్రంలోకి దూసుకెళుతుంది మరియు మునిగిపోతుంది
"గడ్డకట్టే,నీటిలో,జాక్,ఒక,వ్యక్తికి,మాత్రమే,తేలికైన,శిధిలాల,మధ్య,కలప,ట్రాన్సమ్,ప్యానెల్‌పైకి,రావడం,సహాయపడుతుంది,మరియు,మనుగడ,సాగించడానికి,మరియు,ఆమె,జీవితాన్ని,పూర్తిస్థాయిలో,గడపడానికి,ఆమె,వాగ్దానాన్ని,చేస్తుంది",గడ్డకట్టే నీటిలో జాక్ ఒక వ్యక్తికి మాత్రమే తేలికైన శిధిలాల మధ్య కలప ట్రాన్సమ్ ప్యానెల్‌పైకి రావడం సహాయపడుతుంది మరియు మనుగడ సాగించడానికి మరియు ఆమె జీవితాన్ని పూర్తిస్థాయిలో గడపడానికి ఆమె వాగ్దానాన్ని చేస్తుంది
"జాక్,కోల్డ్,షాక్‌తో,మరణిస్తాడు,కాని,రిటర్నింగ్,లైఫ్,బోట్,చేత,రక్షించబడిన,ఆరుగురిలో,రోజ్,కూడా,ఉంది",జాక్ కోల్డ్ షాక్‌తో మరణిస్తాడు కాని రిటర్నింగ్ లైఫ్ బోట్ చేత రక్షించబడిన ఆరుగురిలో రోజ్ కూడా ఉంది
"RMS,కార్పాథియా,ప్రాణాలతో,బయటపడుతుంది",RMS కార్పాథియా ప్రాణాలతో బయటపడుతుంది
"రోజ్,కాల్,మరియు,ఆమె,తల్లిని,స్టీరేజ్,ప్రయాణీకులలో,దాచడం,ద్వారా,మరియు,ఆమె,పేరును,రోజ్,డాసన్,గా,ఇవ్వడం,ద్వారా,తప్పించుకుంటుంది",రోజ్ కాల్ మరియు ఆమె తల్లిని స్టీరేజ్ ప్రయాణీకులలో దాచడం ద్వారా మరియు ఆమె పేరును రోజ్ డాసన్ గా ఇవ్వడం ద్వారా తప్పించుకుంటుంది
"ఇప్పటికీ,కాల్స్,ఓవర్,కోట్,ధరించి,ఆమె,జేబు,లోపల,ఉంచి,హారమును,కనుగొంటుంది",ఇప్పటికీ కాల్స్ ఓవర్ కోట్ ధరించి ఆమె జేబు లోపల ఉంచి హారమును కనుగొంటుంది
"ప్రస్తుత,రోజ్,1929,వాల్,స్ట్రీట్,ప్రమాదంలో,కాల్,తన,సంపదను,కోల్పోయిన,తరువాత,ఆత్మహత్య,చేసుకున్నట్లు,విన్నట్లు,చెప్పారు",ప్రస్తుత రోజ్ 1929 వాల్ స్ట్రీట్ ప్రమాదంలో కాల్ తన సంపదను కోల్పోయిన తరువాత ఆత్మహత్య చేసుకున్నట్లు విన్నట్లు చెప్పారు
"ఓషన్,లోవెట్,లోకి,చూడటం,లిజ్జీ,కాల్వెర్ట్‌కు,విలపించింది,మరియు,గులాబీల,కథ,విన్న,తర్వాత,తన,శోధనను,వదిలివేస్తుంది",ఓషన్ లోవెట్ లోకి చూడటం లిజ్జీ కాల్వెర్ట్‌కు విలపించింది మరియు గులాబీల కథ విన్న తర్వాత తన శోధనను వదిలివేస్తుంది
